pChEMBL Value,Canomicalsmiles
4.67,COc1cc(-c2noc(NC(C)=O)c2-c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
4.93,CCN(CC)CCNC(=O)c1ccc(/C=C2\C(=O)Nc3cccnc32)[nH]c1=O.Cl
5.18,O=C(Nc1nc2ccc(F)cc2s1)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1
5.88,Cc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1
4.83,COc1cc(CNC(=O)c2c(O)n(-c3ccccc3)c(=S)n(-c3ccccc3)c2=O)cc(OC)c1O
8.52,COc1ccc2c(/C=C(\C)C(=O)c3cc(OC)c(OC)c(OC)c3)c[nH]c2c1
4.46,CCCc1c(CC(N)=O)[nH]c2ccc(Cl)cc12
5.89,Cn1cc(C(=O)N/N=C\c2c[nH]c3ccccc23)c2cc(Br)ccc21
4.53,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1
5.35,Cc1cc2c(cc1C)-c1oc(CN3CCN4CCCCC4C3)c(C)c1C(=O)C2=O
5.9,O=C(Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1)c1ccc(-c2ccccc2)cn1
4.72,CCOC(=O)C1=C(N)Oc2c(N)cc3nc4ccccc4nc3c2C1c1ccc(Cl)cc1Cl
5.58,C#CCNC(=O)c1csc2nc(-c3ccc(OC)cc3)cn12
7.1,COc1cc(Sc2c(-c3cn[nH]c3)[nH]c3ccccc23)cc(OC)c1OC
5.89,Cn1c[n+](CC(=O)c2ccc(C(F)(F)F)cc2)c2c1C(=O)c1ccccc1C2=O.[Br-]
5.46,C=C1OC(=O)C=C1Cc1ccc(NC(=O)/C=C/c2ccc(F)cc2)cc1
4.08,CC(C)(C)c1nc(Nc2ccccc2[N+](=O)[O-])sc1Cc1ccc2c(c1)OCO2
4.96,Cc1ccc2oc(-c3ccc(NC(=O)CN4CCN(CCN(C)C)CC4)c(C)c3)nc2c1
4.17,O=C1[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3cccc(O)c3)N2C(=O)N1CCCl
4.4,[Br-].[Br-].c1ccc2c(c1)[nH]c1c[n+](CCCCC[n+]3ccc4c(c3)[nH]c3ccccc34)ccc12
6.49,COc1cc(C(=O)c2sc(-c3cccc(Cl)c3)nc2N)cc(OC)c1OC
5.56,NS(=O)(=O)c1ccc(N2N=C(c3ccc(Cl)cc3)CC2c2ccc3ccccc3c2)cc1
4.64,COc1ccc(NC(=O)/C=C/c2coc3cc(OC)ccc3c2=O)cc1
4.4,COc1ccc(C2C(C#N)=C(N)n3c(=O)c4ccccc4c(=O)n32)cc1
5.42,COc1cc(CCc2ccc(Cl)cc2Cl)cc(OC)c1O
5.09,CCOP(=O)(OCC)Oc1ccc2nc3c(c(C)c2c1)Cn1c-3cc2c(c1=O)COC(=O)C[C@]2(O)CC
5.33,CCOC(=O)/C=C/COc1c(-c2ccc(OC)cc2)oc2c(CC=C(C)C)c(O)cc(O)c2c1=O
4.62,COc1ccc(CCc2cccc(NC(=O)Nc3ccccc3Cl)c2)cc1
4.69,COc1ccc(/C=C/C(=O)c2cccc(C(=O)/C=C/c3ccc(OC)c(O)c3)c2)cc1O
5.34,COC1=CC(=O)c2cc3c(c(O)c2C1=O)C[C@](C)(O)[C@H](O)[C@H]3O
4.71,C=CCn1c(-c2cc3c(cc2C=C)OCO3)cc2ccccc2c1=O
4.58,C=CCOC1=C(CC=C(C)C)C(=O)c2ccccc2C1=O
4.21,Cn1c2c(c3ccccc31)CC(=O)N(c1ccc(F)cc1)C2C(=O)NC1CCCCC1
5.17,CC(C)C1CCC2=C(CC[C@H]3[C@@](C)(C(CO)(CO)CO)CCC[C@]23C)C1
4.44,Cc1ccc2oc(-c3ccc(NC(=O)CCl)cc3)nc2c1
4.87,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1
4.12,Nc1nc2[nH]c(CC(=O)NCC(=O)NCc3cccnc3)cc2c(=O)[nH]1
5.05,O=C(Nc1cccc(-c2ccccc2)c1)C(Cl)Cl
6.06,COc1ccccc1-c1csc2cnc(Nc3ccc(C(=O)NC4CCNCC4)c(C)c3)nc12
6.41,O=C(CSC(=S)N1CCN(C2CCCCC2)CC1)Nc1cccc(NC(=O)c2ccccn2)c1
4.61,CC1=C(c2ccc(O)cc2)N(Cc2ccc(OCCN3CCCCCC3)cc2)C2C=CC(O)=CC12
5.36,Cc1nc2sc3ccccc3n2c1-c1nnc(CN2CCN(CCO)CC2)o1
5.38,CC[C@]1(O)c2cc3n(c(=O)c2CO[C@H]1F)Cc1c-3nc2ccccc2c1C1CCCC1
5.71,CC(C)=CC[C@@]12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)c5ccccc5O[C@]431)C2=O
4.31,CCCCCCCCCCCCCC(=O)CCCC(=O)O
4.83,COc1ccc(OC)c(C2c3ccc4ccccc4c3Oc3ncnc(Nc4ccc(Cl)cc4)c32)c1
