pChEMBL Value,Canomicalsmiles
0.0,C=C[C@H]1C(=O)N(c2ccc(Cl)cc2)[C@@H]1c1cc(OC)c(OC)c(OC)c1
1.0,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)N32)OCCO4)cc2c1OCO2
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,CCCC[C@@H](/C=C\[C@@H]1OC(=O)C=C[C@@H]1OC(C)=O)OC(C)=O
1.0,COc1cccc(Nc2cc(Nc3cccc(NC(=O)C4CC4)c3)ncn2)c1
1.0,COc1cc(C(=O)c2cccc(-c3ccc(C#N)cc3)n2)cc(OC)c1OC
0.0,COc1ccc(S(=O)(=O)N2CCc3cccc(NCc4ccc(C(=O)Nc5ccccc5O)cc4)c32)cc1
0.0,O=c1[nH]cc(F)c(=O)[nH]1
0.0,COc1ccc(C(=O)Oc2cc(OC)c(OC)c(OC)c2)cc1N
0.0,CC(C)(C)c1nc(Nc2ccc(F)cc2)sc1Cc1cc2ccccc2[nH]c1=O
0.0,CCOc1ccc(-n2cccc2-c2cc(OC)c(OC)c(OC)c2)cc1
0.0,N#C/C(=C\c1ccc[nH]1)c1nc2ccccc2n1-c1ccccc1
0.0,COc1cc(C(=O)NCCCOc2cccc(CN3CCN(c4cccc(C)c4C)CC3)c2)cc(OC)c1OC
1.0,COc1ccc(/C=C/C(=O)c2ccccc2-c2cccc(F)c2)cc1OCCCC(=O)NO
0.0,O=C(c1ccccc1)c1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1
0.0,COc1ccc2c(c1OCCCCSc1nnc(NC(=O)c3ccccc3)s1)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
0.0,COc1cc(-c2csc(=S)n2Cc2ccccc2)cc(OC)c1OC
0.0,COc1ccc2[nH]cc(C=C3SC(=NCCc4ccc(OC)c(OC)c4)NC3=O)c2c1
0.0,Cn1cc(C(=O)c2nc3cc(Cl)ccc3s2)c2ccccc21
